kanji_strokes,How many strokes in the kanji for:,"Draw the figure in your mind, then type the number of strokes to help you remember:",,,,
tie,12,結,",tie,thread,spiderman,aerosol,samurai,mouth,",ケツ,むす・ぶ　　ゆ・う　　ゆ・わえる,
end,11,終,",end,thread,spiderman,winter,walking legs,ice,drop,drop2,",シュウ,お・える　　お・わる,
class,9,級,",class,thread,spiderman,reach out,outstretched hands,",キュウ,,
chronicle,9,紀,",chronicle,thread,spiderman,snake,self,",キ,,
crimson,9,紅,",crimson,thread,spiderman,craft,",コウ　　クr,くれない　　べに,
settlement,10,納,",settlement,thread,spiderman,inside,person,belt,",ノウ　　トウ　　ナ　　ナツ　　ナンr,おさ・まる　　おさ・める,
spinning,10,紡,",spinning,thread,spiderman,compass,direction,",ボウ,つむ・ぐ,
distract,10,紛,",distract,thread,spiderman,part,eight,sword,dagger,",フン,まぎ・れる　　まぎ・らす　　まぎ・らわしい　　まぎ・らわす,
introduce,11,紹,",introduce,thread,spiderman,summon,seduce,sword,dagger,mouth,",ショウ,,
sutra,11,経,",sutra,thread,spiderman,spool,clod,toilet paper,crotch,soil,dirt,ground,",ケイ　　キョウ,へ・る,
sire,11,紳,",sire,thread,spiderman,monkey,sun,day,stick,",シン,,
promise,9,約,",promise,thread,spiderman,ladle,",ヤク,,
dainty,11,細,",dainty,thread,spiderman,rice field,brains,",サイ,ほそ・い　　ほそ・る　　こま・か　　こま・かい,
accumulate,11,累,",accumulate,rice field,brains,thread,spiderman,",ルイ,,
cord,10,索,",cord,bishop,cross,ten,needle,crown,thread,spiderman,",サク,,
general,14,総,",general,thread,spiderman,public,eight,elbows,heart,",ソウ,,
cotton,14,綿,",cotton,thread,spiderman,napkin,white,dove,towel,",メン,わた,
silk,13,絹,",silk,thread,spiderman,mouth,moon,month,flesh,part of the body,",ケン,きぬ,
winding,19,繰,",winding,thread,spiderman,furniture,goods,mouth,tree,wood,mouth3,",,く・る,
inherit,13,継,",inherit,thread,spiderman,rice,fishhook,",ケイ,つ・ぐ,
green,14,緑,",green,thread,spiderman,dustpan,broom,grains of rice,",リョク　　ロクr,みどり,
affinity,15,縁,",affinity,thread,spiderman,broom,sow,pig,",エン,ふち,
netting,14,網,",netting,thread,spiderman,glass jar,hood,horns,one,deceased,perish,top hat,fishhook,",モウ,あみ,
tense,15,緊,",tense,loincloth,retainer,slave,crotch,thread,spiderman,",キン,,
purple,12,紫,",purple,Prince,this here,stop,footprint,spoon,sitting on the ground,thread,spiderman,",シ,むらさき,
truss,16,縛,",truss,thread,spiderman,acupuncturist,specialty,drop,ten,needle,rice field,brains,glue,",バク,しば・る,
straw rope,15,縄,",straw rope,thread,spiderman,eels,sun,day,",ジョウ,なわ,
infancy,5,幼,",infancy,cocoon,power,muscle,arnold,",ヨウ,おさな・い,
behind,9,後,",behind,Nelson,column,going,line,cocoon,walking legs,",ゴ　　コウ,あと　　のち　　うし・ろ　　おく・れる,
faint,9,幽,",seclude,faint,cocoon,mountain,cocoon2,",ユウ,,
how many,12,幾,",how many,cocoon,person,fiesta,cocoon2,",キ,いく,
mechanism,16,機,",mechanism,tree,wood,abacus,how many,cocoon,person,fiesta,cocoon2,",キ,はた,
capital suburbs,15,畿,",capital suburbs,cocoon,rice field,brains,fiesta,cocoon2,",キ,,
mysterious,5,玄,",mysterious,top hat,cocoon,",ゲン,,
livestock,10,畜,",livestock,mysterious,top hat,cocoon,rice field,brains,",チク,,
amass,13,蓄,",amass,flowers,livestock,mysterious,top hat,cocoon,rice field,brains,",チク,たくわ・える,
bowstring,8,弦,",bowstring,bow,mysterious,top hat,cocoon,",ゲン,つる,
hug,16,擁,",hug,finger,fingers,mysterious,top hat,cocoon,turkey,",ヨウ,,
nourishing,12,滋,",nourishing,water,water droplets,water pistol,double-mysterious,mothballs,horns,one,cocoon,cocoon2,",ジ,,
mercy,13,慈,",mercy,double-mysterious,mothballs,horns,one,cocoon,heart,cocoon2,",ジ,いつく・しむ,
magnet,14,磁,",magnet,stone,rock,double-mysterious,mothballs,horns,one,cocoon,cocoon2,",ジ,,
lineage,7,系,",lineage,stick,drop,thread,spiderman,",ケイ,,
person in charge,9,係,",person in charge,person,lineage,drop,thread,spiderman,",ケイ,かか・る　　かかり,
grandchild,10,孫,",grandchild,child,lineage,drop,thread,spiderman,",ソン,まご,
suspend,20,懸,",suspend,prefecture,eye,fishhook,small,little,lineage,stick,drop,thread,spiderman,heart,",ケン　　ケr,か・ける　　か・かる,
modest,12,遜,",modest,grandchild,child,lineage,drop,thread,spiderman,road,",ソン,,
instead,7,却,",instead,gone,soil,dirt,ground,elbow,stamp,",キャク,,
shins,11,脚,",skids,shins,moon,month,flesh,part of the body,instead,gone,soil,dirt,ground,elbow,stamp,",キャク　　キャr,あし,
wholesale,9,卸,",wholesale,horseshoe,horse,pantomime horse,noon,sign of the horse,stop,footprint,stamp,",,おろ・す　　おろし,
honorable,12,御,",honorable,Nelson,column,going,line,wholesale,horseshoe,pantomime horse,noon,sign of the horse,stop,footprint,stamp,",ゴ　　ギョ,おん,
clothing,8,服,",clothing,moon,month,flesh,part of the body,underpants,stamp,crotch,",フク,,
fate,8,命,",fate,fit,meeting,umbrella,one,mouth,stamp,",メイ　　ミョウ,いのち,
orders,5,令,",orders,meeting,chop-seal,hanko,",レイ,,
zero,13,零,",zero,rain,weather,orders,meeting,chop-seal,hanko,",レイ,,
age,17,齢,",age,teeth,tooth,stop,footprint,rice,shovel,orders,meeting,chop-seal,hanko,",レイ,,
cool,7,冷,",cool,ice,orders,meeting,chop-seal,hanko,",レイ,ひ・や　　ひ・やす　　ひ・やかす　　ひ・える　　つめ・たい　　さ・ます　　さ・める,
jurisdiction,14,領,",jurisdiction,orders,meeting,chop-seal,hanko,head,page,one,ceiling,drop,shellfish,clam,oyster,eye,animal legs,eight,",リョウ,,
small bell,13,鈴,",small bell,metal,gold,orders,meeting,chop-seal,hanko,",レイ　　リン,すず,
courage,9,勇,",courage,chop-seal,hanko,male,rice field,brains,power,muscle,arnold,",ユウ,いさ・む,
bubble up,12,湧,",bubble up,water,water droplets,water pistol,courageous,courage,chop-seal,hanko,male,rice field,brains,power,muscle,arnold,",ユウ,わ・く,
traffic,9,通,",traffic,pogo stick,chop-seal,hanko,utilise,utilise,road,",ツウ　　ツr,とお・す　　とお・る　　かよ・う,
jump,14,踊,",jump,wooden leg,mouth,stop,footprint,pogo stick,chop-seal,hanko,utilise,utilise,",ヨウ,おど・る　　おど・り,
doubt,14,疑,",doubt,spoon,sitting on the ground,dart,drop,heavens,chop-seal,hanko,zoo,critters,",ギ,うたが・う,
mimic,17,擬,",mimic,finger,fingers,doubt,spoon,sitting on the ground,dart,drop,heavens,chop-seal,hanko,zoo,critters,",ギ,,
congeal,16,凝,",congeal,ice,doubt,spoon,sitting on the ground,dart,drop,heavens,chop-seal,hanko,zoo,critters,",ギョウ,こ・る　　こ・らす,
pattern,15,範,",pattern,bamboo,car,fingerprint,",ハン,,
crime,5,犯,",crime,pack of wild dogs,fingerprint,",ハン,おか・す,
widespread,5,氾,",widespread,water,water droplets,water pistol,fingerprint,",ハン,,
unlucky,4,厄,",unlucky,cliff,fingerprint,",ヤク,,
dangerous,6,危,",dangerous,bound up,unlucky,cliff,fingerprint,",キ,あぶ・ない　　あや・うい　　あや・ぶむ,
address,8,宛,",address,house,mailbox,evening,fingerprint,",,あ・てる,
arm,12,腕,",arm,moon,month,flesh,part of the body,address,house,mailbox,evening,fingerprint,",ワン,うで,
garden,8,苑,",garden,flowers,mailbox,evening,fingerprint,",エン,その,
grudge,9,怨,",grudge,mailbox,evening,fingerprint,heart,",オン　　エン,,
willow,9,柳,",willow,tree,wood,blown eggs,sign of the hare,receipt,stamp,",リュウ,やなぎ,
egg,7,卵,",egg,sign of the hare,receipt,stamp,drops,",ラン,たまご,
detain,10,留,",detain,receipt,sword,dagger,rice field,brains,",リュウ　　ルr,と・まる　　と・める,
marine blue,14,瑠,",marine blue,king,jewel,ball,detain,receipt,dagger,sword,rice field,brains,",ル,,
trade,12,貿,",trade,receipt,sword,dagger,shellfish,clam,oyster,eye,animal legs,eight,",ボウ,,
stamp,6,印,",stamp,staples,stamp,",イン,しるし,
mortar,6,臼,",mortar,back to back staples,",キュウ,うす,
break,13,毀,",break,mortar,soil,dirt,ground,cruise missile,missile,wind,crotch,",キ,,
entertain,16,興,",entertain,staples,same,monks,hood,one,mouth,tool,animal legs,eight,",コウ　　キョウ,おこ・す　　おこ・る,
sign of the bird,7,酉,",sign of the bird,whiskey bottle,west,one,",,とり,
sake,10,酒,",sake,water,water droplets,water pistol,whiskey bottle,",シュ,さけ　　さかr,
bartending,10,酌,",bartending,whiskey bottle,ladle,",シャク,く・む,
hooch,10,酎,",hooch,whiskey bottle,glue,",チュウ,,
fermentation,14,酵,",fermentation,whiskey bottle,filial piety,old man,child,",コウ,,
cruel,14,酷,",cruel,whiskey bottle,revelation,cow,mouth,",コク,,
repay,13,酬,",repay,whiskey bottle,state,stream,drop,drop3,",シュウ,,
dairy products,13,酪,",dairy products,whiskey bottle,each,walking legs,mouth,",ラク,,
vinegar,12,酢,",vinegar,whiskey bottle,saw,",サク,す,
drunk,11,酔,",drunk,whiskey bottle,ninety,nine,baseball,ten,needle,",スイ,よ・う,
distribute,10,配,",distribute,whiskey bottle,snake,self,",ハイ,くば・る,
acid,14,酸,",acid,whiskey bottle,streetwalker,Ministry of silly walks,John Cleese,license,elbow,human legs,walking legs,",サン,す・い,
waver,12,猶,",furthermore,waver,pack of wild dogs,chieftain,Molotov cocktail,animal horns,whiskey bottle,",ユウ,,
revered,12,尊,",revered,chieftain,Molotov cocktail,animal horns,whiskey bottle,glue,",ソン,たっと・い　　たっと・ぶ　　とうと・い　　とうと・ぶ,
beans,7,豆,",beans,table,one,mouth,",トウ　　ズr,まめ,
head,16,頭,",head,beans,table,one,mouth,head,page,one,ceiling,drop,shellfish,clam,oyster,eye,animal legs,eight,",トウ　　ズ　　トr,あたま　　かしら,
short,12,短,",short,dart,drop,heavens,beans,table,one,mouth,",タン,みじか・い,
bountiful,13,豊,",bountiful,bend,beans,table,one,mouth,",ホウ,ゆた・か,
drum,13,鼓,",drum,samurai,beans,table,one,mouth,branch,ten,needle,crotch,",コ,つづみ,
rejoice,12,喜,",rejoice,drum,samurai,beans,table,one,mouth,mouth,mouth2,",キ,よろこ・ぶ,
timber-trees,16,樹,",timber-trees,tree,wood,drum,samurai,beans,table,one,mouth,glue,",ジュ,,
dish,5,皿,",dish,",,さら,
blood,6,血,",blood,drop,dish,",ケツ,ち,
basin,9,盆,",basin,part,eight,sword,dagger,dish,",ボン,,
alliance,13,盟,",alliance,bright,sun,day,moon,month,flesh,part of the body,dish,",メイ,,
steal,11,盗,",steal,next,ice,lack,yawn,dish,",トウ,ぬす・む,
warm,12,温,",warm,water,water droplets,water pistol,sun,day,dish,",オン,あたた・か　　あたた・かい　　あたた・まる　　あたた・める,
lid,14,蓋,",lid,flowers,gone,soil,dirt,ground,elbow,dish,",ガイ,ふた,
oversee,15,監,",oversee,retainer,slave,reclining,lying down,one,floor,dish,",カン,,
overflow,18,濫,",overflow,water,water droplets,water pistol,oversee,retainer,slave,reclining,lying down,one,floor,dish,",ラン,,
specimen,23,鑑,",specimen,metal,gold,oversee,retainer,slave,reclining,lying down,one,floor,dish,",カン,かんが・みる ,
indigo,18,藍,",indigo,flowers,oversee,retainer,slave,reclining,lying down,one,floor,dish,",ラン,あい,
fierce,11,猛,",fierce,pack of wild dogs,child,dish,",モウ,,
boom,11,盛,",boom,turn into,dish,",セイ　　ジョウr,さか・る　　さか・ん　　も・る,
salt,13,塩,",salt,soil,dirt,ground,reclining,lying down,mouth,dish,",エン,しお,
silver,14,銀,",silver,metal,gold,silver,",ギン,,
resentment,9,恨,",regret,resentment,Freud,state of mind,silver,",コン,うら・む　　うら・めしい,
root,10,根,",root,tree,wood,silver,",コン,ね,
instant,7,即,",instant,silver,stamp,",ソク,,
baron,17,爵,",baron,claw,vulture,net,eye,silver,glue,",シャク,,
node,13,節,",node,bamboo,instant,silver,stamp,",セツ　　セチr,ふし,
retreat,8,退,",retreat,road,silver,",タイ,しりぞ・く　　しりぞ・ける,
limit,9,限,",limit,pinnacle,parthenon,acropolis,silver,",ゲン,かぎ・る,
eyeball,11,眼,",eyeball,eye,silver,",ガン　　ゲンr,まなこ,
good,7,良,",good,drop,silver,",リョウ,よ・い,
melodious,10,朗,",melodious,halo,drop,silver,moon,month,flesh,part of the body,",ロウ,ほが・らか,
wandering,10,浪,",wandering,water,water droplets,water pistol,halo,drop,silver,",ロウ,,
daughter,10,娘,",daughter,woman,halo,drop,silver,",,むすめ,
eat,9,食,",eat,food,umbrella,good,halo,drop,silver,",ショク　　ジキr,た・べる　　く・う　　く・らう,
meal,12,飯,",meal,eat,food,umbrella,good,halo,drop,silver,anti-,demonstration,cliff,crotch,",ハン,めし,
drink,12,飲,",drink,eat,food,umbrella,good,halo,drop,silver,lack,yawn,",イン,の・む,
hungry,10,飢,",hungry,eat,food,umbrella,good,halo,drop,silver,wind,",キ,う・える,
starve,15,餓,",starve,eat,food,umbrella,good,halo,drop,silver,ego,hand,fiesta,",ガ,,
decorate,13,飾,",decorate,eat,food,umbrella,good,halo,drop,silver,reclining,lying down,towel,",ショク,かざ・る,
feed,14,餌,",feed,eat,food,umbrella,good,halo,drop,silver,ear,",ジ,え　　えさ,
Bldg.,16,館,",Bldg.,eat,food,umbrella,good,halo,drop,silver,bureaucrat,house,maestro without baton,",カン,やかた ,
mochi,14,餅,",mochi,eat,food,umbrella,good,halo,drop,silver,puzzle,horns,two hands,",ヘイ,もち,
foster,15,養,",foster,sheep,eat,food,umbrella,good,halo,drop,silver,",ヨウ,やしな・う,
sated,13,飽,",sated,eat,food,umbrella,good,halo,drop,silver,wrap,bound up,snake,self,",ホウ,あ・きる　　あ・かす,
previously,10,既,",previously,silver,waitress,",キ,すで・に,
outline,14,概,",outline,roots,tree,wood,silver,waitress,previously,",ガイ,,
rue,13,慨,",rue,regret,resentment,Freud,state of mind,silver,waitress,previously,",ガイ,,
even,5,平,",even,water-lily,lily pad,",ヘイ　　ビョウ,たい・ら　　ひら,
call,8,呼,",call,mouth,even,water-lily,lily pad,question mark,",コ,よ・ぶ,
two-mat area,8,坪,",two-mat area,soil,dirt,ground,even,water-lily,lily pad,",,つぼ,
evaluate,12,評,",evaluate,say,words,keitai,mouth,even,water-lily,lily pad,",ヒョウ,,
reap,4,刈,",reap,sheaf,sword,sabre,saber,",,か・る,
moment,8,刹,",moment,sheaf,tree,wood,sword,sabre,saber,",サツ　　セツ,,
hope,7,希,",hope,sheaf,linen,by one’s side,towel,",キ,,
villain,4,凶,",villain,sheaf,shovel,",キョウ,,
bosom,10,胸,",bosom,moon,month,flesh,part of the body,bound up,villain,sheaf,shovel,",キョウ,むね　　むなr,
detach,18,離,",detach,sheik,top hat,villain,sheaf,shovel,belt,elbow,turkey,",リ,はな・す　　はな・れる,
crystal,14,璃,",crystal,king,jewel,ball,sheik,top hat,villain,sheaf,shovel,belt,elbow,",リ,,
kill,10,殺,",kill,sheaf,tree,wood,cruise missile,missile,wind,crotch,",サツ　　セツ　　サイr,ころ・す,
bracing,11,爽,",bracing,large,St. Bernard,sheaf,sheaf4,",ソウ,さわ・やか,
genuine,10,純,",genuine,thread,spiderman,earthworm,drop,shovel,fishhook,",ジュン,,
immediate,13,頓,",immediate,earthworm,drop,shovel,fishhook,head,page,one,ceiling,drop,shellfish,clam,oyster,eye,animal legs,eight,",トン,,
dull,12,鈍,",dull,metal,gold,earthworm,drop,shovel,fishhook,",ドン,にぶ・い　　にぶ・る,
spicy,7,辛,",spicy,stand up,vase,ten,needle,",シン,から・い,
resign,13,辞,",resign,tongue,thousand,mouth,spicy,stand up,vase,ten,needle,",ジ,や・める,
catalpa,11,梓,",catalpa,tree,wood,spicy,stand up,vase,ten,needle,",シ,あずさ,
superintend,10,宰,",superintend,house,spicy,stand up,vase,ten,needle,",サイ,,
wall,16,壁,",wall,ketchup,flag,mouth,spicy,stand up,vase,ten,needle,soil,dirt,ground,",ヘキ,かべ,
holed gem,nodata,璧,nodata,ヘキ,,
evade,15,避,",evade,ketchup,flag,mouth,spicy,stand up,vase,ten,needle,road,",ヒ,さ・ける,
new,13,新,",new,red pepper,stand up,vase,tree,wood,axe,",シン,あたら・しい　　あら・た　　にい,
firewood,16,薪,",fuel,firewood,flowers,new,red pepper,stand up,vase,tree,wood,axe,",シン,たきぎ,
parent,16,親,",parent,red pepper,stand up,vase,tree,wood,see,telescope,eye,human legs,",シン,おや　　した・しい　　した・しむ,
happiness,8,幸,",happiness,ten,needle,stand up,vase,ten,needle,ten2,needle2,",コウ,さいわ・い　　さち　　しあわ・せ,
tenacious,11,執,",tenacious,happiness,ten,needle,stand up,vase,fat man,musashimaru,nine,baseball,drop,ten2,needle2,",シツ　　シュウ,と・る,
clasp,nodata,摯,nodata,シ,,
report,12,報,",report,happiness,ten,needle,stand up,vase,underpants,stamp,crotch,ten2,needle2,",ホウ,むく・いる,
shout,6,叫,",shout,mouth,cornucopia,",キョウ,さけ・ぶ,
twist,9,糾,",twist,thread,spiderman,cornucopia,",キュウ,,
income,5,収,",income,cornucopia,crotch,",シュウ,おさ・まる　　おさ・める,
lowly,9,卑,",lowly,Wayne Slob,drop,rice field,brains,cornucopia,ten,needle,",ヒ,いや・しい　　いや・しむ　　いや・しめる,
tombstone,14,碑,",tombstone,stone,rock,lowly,Wayne Slob,drop,rice field,brains,cornucopia,ten,needle,",ヒ,,
land,11,陸,",land,pinnacle,parthenon,acropolis,mini-tractor,rice seedlings,soil,dirt,ground,human legs,soil2,dirt2,ground2,",リク,,
intimate,13,睦,",intimate,eye,mini-tractor,rice seedlings,soil,dirt,ground,human legs,soil2,dirt2,ground2,",ボク,,
forces,13,勢,",forces,mini-tractor,rice seedlings,soil,dirt,ground,human legs,fat man,musashimaru,round,nine,baseball,drop,power,muscle,arnold,soil2,dirt2,ground2,",セイ,いきお・い,
heat,15,熱,",heat,mini-tractor,rice seedlings,soil,dirt,ground,human legs,fat man,musashimaru,round,nine,baseball,drop,oven-fire,barbecue,soil2,dirt2,ground2,",ネツ,あつ・い,
